Name,Price,Description,Link,Disease
Tylenol,7.99,"Tylenol Rapid Release Gels work at the speed of life to temporarily relieve minor aches and pains and reduce fever.Tylenol Rapid Release Gels can be used to help treat minor aches and pains related to headache, backache, minor arthritis pain, toothaches, pain due to the common cold, premenstrual and menstrual cramps.",https://www.dollargeneral.com/media/catalog/product/cache/image/700x700/e9c3970ab036de70892d86c6d221abfe/5/1/51572309.jpg,flu
ibuprofen,2.99,"Ibuprofen is used to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis. It is also used to reduce fever and to relieve minor aches and pain due to the common cold or flu.",https://images-na.ssl-images-amazon.com/images/I/51k4Nq-iPuL._SY355_.jpg,flu
Advil,3.99,"Temporarily reduces fever.,Temporarily relieves minor aches and pains due to: headache; toothache; backache; menstrual cramps; the common cold; muscular aches; minor pain of arthritis.",https://target.scene7.com/is/image/Target/GUEST_2b2c65a9-646e-4742-958b-1e3995fdb327?wid=700&hei=700&fmt=webp,flu
Excedrin,10.99,"Extra strength painkiller with a focus on headache relief.",https://target.scene7.com/is/image/Target/GUEST_3d37ca0d-e887-4ce4-b05f-3199484499a4?fmt=webp&wid=1400&qlt=80,flu
orajel,6.29,"For the temporary relief of pain associated with: canker sores; cold sores; fever blisters; minor irritation or injury of the mouth and gums.",https://target.scene7.com/is/image/Target/GUEST_a09f078a-d4c4-491c-8153-35919567f38e?fmt=webp&wid=1400&qlt=80,flu
Zantac,21.80,"relieves heartburn associated with acid indigestion and sour stomach,prevents heartburn associated with acid indigestion and sour stomach brought on by certain foods and beverages",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQPFjuminamhbRQZxafqTHRoHGL9wrq4y7e4IhkBPiSjlM1ULbIk4xFiNygLVJapZ_L9L26yYXK64rXUl-AXjoht-oBGViO2M6JPFWCXFwsVEOoFX-KEVe64w&usqp=CAE,Stomach Virus
Nature's Way Cold+Flu Chewable Berry,8.99,"provides multi-symptom relief of colds and flu.Shortens duration and reduces severity of common cold, nasal, throat and bronchial irritations.",https://pics.drugstore.com/prodimg/610737/100.jpg,flu
Boiron Oscillococcinum,33.99,"Helps relieve many symptoms of flu as well as relieving fatigue", https://pics.drugstore.com/prodimg/410193/100.jpg,flu
Imodium,15.49,"42-ct. package of IMODIUM Multi-Symptom Relief Caplets with loperamide HCl and simethicone.IMODIUM Multi-Symptom Relief is the only product that relieves diarrhea, gas, bloating and cramps",https://target.scene7.com/is/image/Target/GUEST_de7b8770-3b46-4b96-9542-fb6a997996b5?fmt=webp&wid=1400&qlt=80,Stomach Virus
Upspring Stomach Settle Fast Action Drops,9.99,"Help quickly relieve occasional nausea, motion sickness, gas, bloating and other digestive upset",https://target.scene7.com/is/image/Target/GUEST_380ecbc5-1d37-47e5-b048-27c87652c76c?fmt=webp&wid=1400&qlt=80,Stomach Virus
Equate Regular Strength Stomach Relief Liquid,4.98,"Get fast-acting comfort with Equate Regular Strength Relief Liquid. It provides symptom relief of nausea, heartburn, indigestion, upset stomach, and diarrhea.",https://i5.walmartimages.com/asr/bd5251fd-5548-4b7a-9675-528eb53b4e8d_1.b36e5c41715850e1e495fe49440d75a3.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,Stomach Virus
Emetrol Nausea and Upset Stomach Relief,8.99,"For relief of upset stomach,Proven relief for children & adults. No antihistamines, aspirin, alcohol",https://pics.drugstore.com/prodimg/16148/100.jpg,Stomach Virus
Pepto Bismal,11.99,"5 SYMPTOM DIGESTIVE RELIEF: Nausea, Heartburn, Indigestion, Upset Stomach, Diarrhea",https://images-na.ssl-images-amazon.com/images/I/814H%2B7%2BOdVL._AC_SL1500_.jpg,Stomach Virus
